post_id,platform,post_type,post_date,post_month,post_day,post_time,Hour,time_category,likes,comments,shares,sentiment_score,total_engagement,engagement_rate
27,Instagram,Text,10/6/2023,October,Friday,10:00:00 AM,10,Morning,3161,162,137,Positive,3460,0.54
28,Facebook,Poll,3/1/2023,March,Wednesday,8:00:00 AM,8,Morning,2083,500,388,Neutral,2971,0.46
29,Facebook,Image,1/7/2023,January,Saturday,10:30:00 AM,10,Morning,548,153,731,Negative,1432,0.22
30,Facebook,Carousel,2/3/2023,February,Friday,12:30:00 AM,0,Night,4594,216,739,Positive,5549,0.87
31,Facebook,Poll,9/10/2023,September,Sunday,1:45:00 PM,13,Afternoon,4795,449,978,Negative,6222,0.97
32,Instagram,Image,7/1/2023,July,Saturday,2:45:00 PM,14,Afternoon,4665,202,183,Positive,5050,0.79
33,Twitter,Video,9/27/2023,September,Wednesday,7:00:00 PM,19,Evening,119,147,240,Positive,506,0.08
34,Twitter,Poll,2/9/2023,February,Thursday,3:30:00 PM,15,Afternoon,2253,162,28,Positive,2443,0.38
35,Instagram,Image,6/6/2023,June,Tuesday,7:30:00 PM,19,Evening,1309,201,852,Negative,2362,0.37
36,Facebook,Video,4/8/2023,April,Saturday,7:15:00 PM,19,Evening,5000,500,43,Positive,5543,0.86
37,Facebook,Video,5/11/2023,May,Thursday,12:30:00 AM,0,Night,4245,59,83,Neutral,4387,0.68
38,Twitter,Poll,5/2/2023,May,Tuesday,12:30:00 AM,0,Night,2463,187,445,Positive,3095,0.48
39,Facebook,Video,1/1/2023,January,Sunday,6:00:00 AM,6,Morning,5000,430,980,Neutral,6410,1.00
40,Instagram,Carousel,8/4/2023,August,Friday,12:45:00 PM,12,Afternoon,447,333,845,Negative,1625,0.25
41,Twitter,Carousel,12/27/2023,December,Wednesday,11:30:00 AM,11,Morning,667,176,461,Positive,1304,0.20
42,Instagram,Video,11/23/2023,November,Thursday,2:00:00 AM,2,Night,4929,252,730,Negative,5911,0.92
43,Twitter,Carousel,3/31/2023,March,Friday,4:00:00 PM,16,Afternoon,2586,97,85,Positive,2768,0.43
44,Instagram,Text,7/6/2023,July,Thursday,8:00:00 AM,8,Morning,3259,50,177,Negative,3486,0.54
45,Twitter,Video,12/1/2023,December,Friday,10:00:00 AM,10,Morning,2236,132,118,Positive,2486,0.39
46,Instagram,Text,5/16/2023,May,Tuesday,10:15:00 PM,22,Night,2251,380,427,Positive,3058,0.48
47,Facebook,Poll,8/8/2023,August,Tuesday,5:45:00 PM,17,Evening,4726,44,993,Negative,5763,0.90
48,Facebook,Video,3/22/2023,March,Wednesday,3:15:00 AM,3,Night,5000,232,16,Negative,5248,0.82
49,Twitter,Image,4/17/2023,April,Monday,3:00:00 PM,15,Afternoon,725,169,298,Neutral,1192,0.19
50,Instagram,Text,7/12/2023,July,Wednesday,12:00:00 AM,0,Night,1551,206,127,Negative,1884,0.29
51,Twitter,Text,2/14/2023,February,Tuesday,6:00:00 PM,18,Evening,1268,73,251,Positive,1592,0.25
52,Twitter,Image,7/14/2023,July,Friday,3:00:00 PM,15,Afternoon,950,113,327,Positive,1390,0.22
53,Twitter,Video,11/12/2023,November,Sunday,5:30:00 PM,17,Evening,1498,46,96,Positive,1640,0.26
54,Instagram,Image,1/21/2023,January,Saturday,1:00:00 AM,1,Night,4297,360,825,Negative,5482,0.86
55,Twitter,Carousel,10/2/2023,October,Monday,11:30:00 PM,23,Night,592,34,496,Neutral,1122,0.18
56,Instagram,Image,3/13/2023,March,Monday,11:15:00 PM,23,Night,3401,190,230,Negative,3821,0.60
57,Instagram,Video,7/13/2023,July,Thursday,9:15:00 AM,9,Morning,4846,134,498,Neutral,5478,0.85
58,Facebook,Video,12/27/2023,December,Wednesday,4:00:00 AM,4,Night,2204,116,728,Neutral,3048,0.48
59,Twitter,Video,12/24/2023,December,Sunday,7:45:00 AM,7,Morning,344,99,194,Neutral,637,0.10
60,Instagram,Carousel,5/19/2023,May,Friday,4:30:00 AM,4,Night,4763,332,956,Positive,6051,0.94
61,Instagram,Video,12/31/2023,December,Sunday,10:30:00 PM,22,Night,3544,167,761,Negative,4472,0.70
62,Facebook,Carousel,1/27/2023,January,Friday,3:45:00 PM,15,Afternoon,3742,227,849,Negative,4818,0.75
63,Twitter,Image,5/15/2023,May,Monday,6:30:00 AM,6,Morning,227,163,127,Neutral,517,0.08
64,Instagram,Carousel,4/19/2023,April,Wednesday,7:45:00 PM,19,Evening,130,452,724,Neutral,1306,0.20
65,Instagram,Image,9/20/2023,September,Wednesday,6:00:00 AM,6,Morning,3982,314,326,Positive,4622,0.72
66,Facebook,Text,1/3/2023,January,Tuesday,3:00:00 AM,3,Night,2265,39,318,Positive,2622,0.41
67,Facebook,Carousel,4/23/2023,April,Sunday,8:15:00 AM,8,Morning,2026,390,165,Negative,2581,0.40
68,Instagram,Video,12/28/2023,December,Thursday,4:45:00 PM,16,Afternoon,560,486,677,Negative,1723,0.27
69,Twitter,Image,10/14/2023,October,Saturday,6:45:00 PM,18,Evening,187,89,284,Neutral,560,0.09
70,Facebook,Text,6/12/2023,June,Monday,9:30:00 AM,9,Morning,3094,86,965,Negative,4145,0.65
71,Instagram,Video,4/10/2023,April,Monday,12:00:00 AM,0,Night,3398,261,630,Neutral,4289,0.67
72,Facebook,Carousel,5/5/2023,May,Friday,4:45:00 PM,16,Afternoon,1690,257,656,Neutral,2603,0.41
73,Facebook,Text,7/18/2023,July,Tuesday,10:00:00 PM,22,Night,3026,11,761,Positive,3798,0.59
74,Instagram,Video,4/14/2023,April,Friday,10:30:00 AM,10,Morning,5000,454,744,Positive,6198,0.97
75,Facebook,Video,7/26/2023,July,Wednesday,8:15:00 PM,20,Evening,5000,500,404,Positive,5904,0.92
76,Instagram,Text,7/27/2023,July,Thursday,7:15:00 PM,19,Evening,2153,81,114,Neutral,2348,0.37
77,Twitter,Carousel,7/5/2023,July,Wednesday,6:15:00 PM,18,Evening,3571,102,96,Positive,3769,0.59
78,Instagram,Poll,1/19/2023,January,Thursday,7:15:00 AM,7,Morning,2990,30,365,Positive,3385,0.53
79,Instagram,Carousel,12/13/2023,December,Wednesday,4:45:00 AM,4,Night,4678,189,785,Positive,5652,0.88
80,Facebook,Text,6/25/2023,June,Sunday,3:15:00 PM,15,Afternoon,553,320,312,Positive,1185,0.18
81,Facebook,Video,1/4/2023,January,Wednesday,6:30:00 PM,18,Evening,2642,33,413,Neutral,3088,0.48
82,Instagram,Carousel,11/19/2023,November,Sunday,12:30:00 PM,12,Afternoon,4656,314,757,Negative,5727,0.89
83,Instagram,Video,12/6/2023,December,Wednesday,4:00:00 AM,4,Night,5000,173,792,Negative,5965,0.93
84,Facebook,Carousel,10/3/2023,October,Tuesday,7:00:00 PM,19,Evening,1203,263,417,Negative,1883,0.29
85,Facebook,Text,7/6/2023,July,Thursday,7:00:00 AM,7,Morning,2566,368,304,Neutral,3238,0.51
86,Twitter,Text,11/25/2023,November,Saturday,7:30:00 AM,7,Morning,2416,50,62,Positive,2528,0.39
87,Instagram,Text,5/23/2023,May,Tuesday,10:30:00 PM,22,Night,15,70,454,Neutral,539,0.08
88,Facebook,Text,5/3/2023,May,Wednesday,12:30:00 PM,12,Afternoon,3404,244,67,Positive,3715,0.58
89,Twitter,Carousel,5/3/2023,May,Wednesday,8:00:00 AM,8,Morning,2884,197,339,Positive,3420,0.53
90,Instagram,Poll,3/19/2023,March,Sunday,4:00:00 AM,4,Night,3195,109,243,Negative,3547,0.55
91,Facebook,Carousel,9/15/2023,September,Friday,12:45:00 AM,0,Night,3956,402,462,Negative,4820,0.75
92,Facebook,Video,2/23/2023,February,Thursday,5:15:00 PM,17,Evening,1857,216,344,Positive,2417,0.38
93,Instagram,Carousel,5/7/2023,May,Sunday,12:30:00 AM,0,Night,951,432,734,Negative,2117,0.33
94,Facebook,Image,11/27/2023,November,Monday,4:30:00 AM,4,Night,1694,207,290,Positive,2191,0.34
95,Instagram,Poll,3/7/2023,March,Tuesday,7:15:00 PM,19,Evening,3005,124,517,Positive,3646,0.57
96,Instagram,Carousel,7/12/2023,July,Wednesday,5:45:00 PM,17,Evening,36,294,911,Positive,1241,0.19
97,Twitter,Video,10/27/2023,October,Friday,11:45:00 PM,23,Night,314,108,458,Neutral,880,0.14
98,Twitter,Text,8/5/2023,August,Saturday,8:45:00 AM,8,Morning,229,179,38,Positive,446,0.07
99,Instagram,Poll,12/29/2023,December,Friday,12:15:00 PM,12,Afternoon,5000,500,204,Positive,5704,0.89
100,Instagram,Image,6/6/2023,June,Tuesday,9:00:00 PM,21,Night,4483,357,25,Neutral,4865,0.76
